# BJ dispersion parameters — layer-averaged (z_tol = 0.20 Ang)
# Element      N    z_avg(Ang)    ALPHAscs_avg     C6_D3_avg
#------------------------------------------------------------
  O            4      0.000000          4.6190       10.5000
  Ir           8      1.226200         30.2972      305.5000
  O            8      1.226200          4.2720       10.4000
  O            4      2.452410          3.9005       10.4000
  O            4      3.199220          3.6215       10.4000
  Ir           8      4.425420         29.8922      305.5000
  O            8      4.425420          4.0065       10.4000
  O            4      5.651630          3.9895       10.4000
  O            4      6.417655          4.0120       10.4000
  O            8      7.629620          3.9970       10.4000
  Ir           8      7.645753         30.0326      305.5000
  O            4      8.885540          4.0665       10.4000
  O            4      9.608250          3.9950       10.4000
  O            8     10.822525          4.1605       10.4000
  Ir           8     10.879830         28.9539      305.5000
  O            4     12.026905          4.4135       10.4000
  O            4     12.760705          4.5655       11.6000
  H            2     13.135270          2.1840        3.1000
