# BJ dispersion parameters — layer-averaged (z_tol = 0.20 Ang)
# Element      N    z_avg(Ang)  ALPHAscs_avg(au)  C6_D3_avg(au)
#------------------------------------------------------------
  O            4      0.000000          4.6160       10.5000
  Ir           8      1.226200         30.2769      305.5000
  O            8      1.226200          4.2735       10.4000
  O            4      2.452410          3.9010       10.4000
  O            4      3.199220          3.6233       10.4000
  Ir           8      4.425420         29.8910      305.5000
  O            8      4.425420          4.0060       10.4000
  O            4      5.651630          3.9860       10.4000
  O            4      6.417970          4.0090       10.4000
  O            8      7.626260          3.9940       10.4000
  Ir           8      7.643250         30.0104      305.5000
  O            4      8.889270          4.1040       10.4000
  O            4      9.600350          4.0045       10.4000
  O            8     10.786620          4.2270       10.4000
  Ir           8     10.886690         28.7109      305.5000
  O            4     12.018100          4.4100       10.4000
  O            4     12.704250          4.4840       12.8000
