# BJ dispersion parameters — layer-averaged (z_tol = 0.20 Ang)
# Element      N    z_avg(Ang)  ALPHAscs_avg(au)  C6_D3_avg(au)
#------------------------------------------------------------
  O            4      0.000000          4.6247       10.5000
  Ir           8      1.226200         30.3351      305.5000
  O            8      1.226200          4.2702       10.4000
  O            4      2.452410          3.9057       10.4000
  O            4      3.199220          3.6185       10.4000
  Ir           8      4.425420         29.8873      305.5000
  O            8      4.425420          4.0047       10.4000
  O            4      5.651630          3.9905       10.4000
  O            4      6.393990          3.9600       10.4000
  Ir           8      7.639205         30.0811      305.5000
  O            8      7.644410          4.0070       10.4000
  O            4      8.842470          3.5838       10.4000
  O            4      9.635450          3.9320       10.4000
  Ir           8     10.840425         30.2629      305.5000
  O            8     10.930415          4.2980       10.4000
  O            4     12.072945          4.5585       10.4500
